"ORIGINAL"	"DBFIELD"	"TYPE"
"Anexos a los pliegos (URI) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Anexos_a_los_Pliegos/URI"	"string"
"Clasificación CPV (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Clasificacion_CPV"	"string"
"Estado (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Estado"	"string"
"Número de Expediente (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Numero_de_Expediente"	"string"
"Objeto del Contrato (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Objeto_del_Contrato"	"string"
"Plazo de Ejecución (Comienzo) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Plazo_de_Ejecucion/Comienzo"	"string"
"Plazo de Ejecución (Duración) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Plazo_de_Ejecucion/Duracion"	"string"
"Plazo de Ejecución (Fin) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Plazo_de_Ejecucion/Fin"	"string"
"Pliego de cláusulas administrativas (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Pliego_de_Clausulas_Administrativas/Archivo"	"string"
"Pliego de cláusulas administrativas (Hash) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Pliego_de_Clausulas_Administrativas/Hash"	"string"
"Pliego de cláusulas administrativas (URI) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Pliego_de_Clausulas_Administrativas/URI"	"string"
"Pliego de Prescripciones técnicas (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Pliego_de_Prescripciones_Tecnicas/Archivo"	"string"
"Pliego de Prescripciones técnicas (Hash) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Pliego_de_Prescripciones_Tecnicas/Hash"	"string"
"Pliego de Prescripciones técnicas (URI) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Pliego_de_Prescripciones_Tecnicas/URI"	"string"
"Presupuesto base con impuestos (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Presupuesto_Base_con_Impuestos"	"string"
"Presupuesto base sin impuestos (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Presupuesto_Base_sin_Impuestos"	"string"
"Subtipo (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Subtipo"	"string"
"Tipo de Contrato (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Tipo_de_Contrato"	"string"
"Valor estimado del contrato (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Valor_Estimado_del_Contrato"	"string"
"deleted_on"	"deleted_on"	"string"
"Ubicación orgánica ID (2) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"	"string"
"Ubicación orgánica ID (3) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"	"string"
"Ubicación orgánica ID (4) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"	"string"
"Ubicación orgánica ID (5) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"	"string"
"Ubicación orgánica ID (6) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"	"string"
"Ubicación orgánica ID (7) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/ID"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - IDschemeName"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/IDschemeName"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - IDschemeName"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/IDschemeName"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - IDschemeName"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/IDschemeName"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - IDschemeName"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/IDschemeName"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - IDschemeName"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/IDschemeName"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - IDschemeName"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/IDschemeName"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Ubicación orgánica (2) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Ubicación orgánica (3) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Ubicación orgánica (4) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Ubicación orgánica (5) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Ubicación orgánica (6) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Ubicación orgánica (7) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Ubicación orgánica (8) (Entidad Adjudicadora Jerarquía)"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"	"string"
"Actividad (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Actividad"	"string"
"Calle (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Calle"	"string"
"Código Postal (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Codigo_Postal"	"string"
"Correo Electrónico (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Correo_Electronico"	"string"
"Fax (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Fax"	"string"
"ID (Entidad Adjudicadora)"	"Entidad_Adjudicadora/ID"	"string"
"ContractFolderStatus - LocatedContractingParty - Party - PartyIdentification - IDschemeName"	"Entidad_Adjudicadora/IDschemeName"	"string"
"Nombre (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Nombre"	"string"
"Nombre para contacto (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Nombre_para_contacto"	"string"
"País (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Pais"	"string"
"Población (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Poblacion"	"string"
"Sitio Web (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Sitio_Web"	"string"
"Telefax (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Telefax"	"string"
"Teléfono (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Telefono"	"string"
"Tipo de Administración (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Tipo_de_Administracion"	"string"
"Ubicación orgánica (Entidad Adjudicadora)"	"Entidad_Adjudicadora/Ubicacion_organica/Nombre"	"string"
"URL perfil de contratante (Entidad Adjudicadora)"	"Entidad_Adjudicadora/URL_perfil_de_contratante"	"string"
"Opciones (Extensión de Contrato)"	"Extension_de_Contrato/Opciones"	"string"
"Período de validez de las opciones (Extensión de Contrato)"	"Extension_de_Contrato/Periodo_de_Validez_de_las_Opciones"	"string"
"Importe (Garantía Requerida Provisional)"	"Garantia_Requerida_Provisional/Importe"	"string"
"Porcentaje de la garantía (Garantía Requerida Provisional)"	"Garantia_Requerida_Provisional/Porcentaje"	"string"
"Tipo de Garantía (Garantía Requerida Provisional)"	"Garantia_Requerida_Provisional/Tipo"	"string"
"id"	"id"	"string"
"Importe total ofertado (con impuestos) (Importes de Adjudicación)"	"Importes_de_Adjudicacion/Importe_Total_Ofertado_con_Impuestos"	"string"
"Importe total ofertado (sin impuestos) (Importes de Adjudicación)"	"Importes_de_Adjudicacion/Importe_Total_Ofertado_sin_Impuestos"	"string"
"Fecha de entrada en Vigor del Contrato (Información sobre el Contrato)"	"Informacion_sobre_el_Contrato/Fecha_de_Entrada_en_Vigor"	"string"
"Fecha de Formalización (Información sobre el Contrato)"	"Informacion_sobre_el_Contrato/Fecha_de_Formalizacion"	"string"
"Número de Contrato (Información sobre el Contrato)"	"Informacion_sobre_el_Contrato/Numero_de_Contrato"	"string"
"Número de recursos presentados (Información sobre el Contrato)"	"Informacion_sobre_el_Contrato/Numero_de_Recursos_Presentados"	"string"
"Cantidad Máxima (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Cantidad_Maxima"	"string"
"Cantidad Mínima (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Cantidad_Minima"	"string"
"Criterios objetivos para la selección del número limitado de candidatos (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Criterios_Objetivos_Seleccion"	"string"
"El poder adjudicador se reserva el derecho de adjudicar contratos que combinen lotes (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Derecho_de_Adjudicar_Contratos_que_Combinen_Lotes"	"string"
"Número de lotes a los que se debe ofertar (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_de_Lotes_a_los_que_se_Debe_Ofertar"	"string"
"Número de lotes a los que se puede ofertar (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_de_Lotes_a_los_que_se_Puede_Ofertar"	"string"
"Número máximo de lotes que se puede adjudicar a un licitador (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_Maximo_de_Lotes_que_se_Puede_Adjudicar_a_un_Licitador"	"string"
"Número previsto de operadores (Limitación del número de licitadores a los que se invitará)"	"Limitacion_del_numero_de_licitadores_a_los_que_se_invitara/Numero_Previsto_de_Operadores"	"string"
"Código de País (Lugar de ejecución del Lote)"	"Lugar_de_ejecucion_del_Lote/Codigo_de_Pais"	"string"
"Código de Subentidad Territorial (Lugar de ejecución del Lote)"	"Lugar_de_ejecucion_del_Lote/Codigo_de_Subentidad_Territorial"	"string"
"Código Postal (Lugar de ejecución del Lote)"	"Lugar_de_ejecucion_del_Lote/Codigo_Postal"	"string"
"País (Lugar de ejecución del Lote)"	"Lugar_de_ejecucion_del_Lote/Pais"	"string"
"Población (Lugar de ejecución del Lote)"	"Lugar_de_ejecucion_del_Lote/Poblacion"	"string"
"Subentidad Territorial (Lugar de ejecución del Lote)"	"Lugar_de_ejecucion_del_Lote/Subentidad_Territorial"	"string"
"Código de País (Lugar de ejecución)"	"Lugar_de_ejecucion/Codigo_de_Pais"	"string"
"Código de Subentidad Territorial (Lugar de ejecución)"	"Lugar_de_ejecucion/Codigo_de_Subentidad_Territorial"	"string"
"Código Postal (Lugar de ejecución)"	"Lugar_de_ejecucion/Codigo_Postal"	"string"
"País (Lugar de ejecución)"	"Lugar_de_ejecucion/Pais"	"string"
"Población (Lugar de ejecución)"	"Lugar_de_ejecucion/Poblacion"	"string"
"Subentidad Territorial (Lugar de ejecución)"	"Lugar_de_ejecucion/Subentidad_Territorial"	"string"
"Importe sin impuestos de la modificación (Modificaciones de contrato)"	"Modificaciones_de_contrato/Importe_Sin_Impuestos_de_la_Modificacion"	"string"
"Importe sin impuestos del contrato tras la modificación (Modificaciones de contrato)"	"Modificaciones_de_contrato/Importe_Sin_Impuestos_del_Contrato_tras_la_Modificacion"	"string"
"Número de Contrato (Modificaciones de contrato)"	"Modificaciones_de_contrato/Numero_de_Contrato"	"string"
"Número de la modificación (Modificaciones de contrato)"	"Modificaciones_de_contrato/Numero_de_la_Modificacion"	"string"
"Observaciones (Modificaciones de contrato)"	"Modificaciones_de_contrato/Observaciones"	"string"
"Plazo de la Modificación (Modificaciones de contrato)"	"Modificaciones_de_contrato/Plazo_de_la_Modificacion"	"string"
"Plazo total tras la modificación (Modificaciones de contrato)"	"Modificaciones_de_contrato/Plazo_Total_tras_la_Modificacion"	"string"
"Documento publicado (FileName) (Otros documentos publicados)"	"Otros_documentos_publicados/Documento_Publicado/Archivo"	"string"
"Documento publicado (ID) (Otros documentos publicados)"	"Otros_documentos_publicados/Documento_Publicado/ID"	"string"
"Documento publicado (URI) (Otros documentos publicados)"	"Otros_documentos_publicados/Documento_Publicado/URI"	"string"
"Tipo de documento publicado (Otros documentos publicados)"	"Otros_documentos_publicados/Tipo_de_Documento_Publicado"	"string"
"Fecha (Plazo de Obtención de Pliegos)"	"Plazo_de_Obtencion_de_Pliegos/Fecha"	"string"
"Hora (Plazo de Obtención de Pliegos)"	"Plazo_de_Obtencion_de_Pliegos/Hora"	"string"
"Fecha (Plazo de presentación de Oferta)"	"Plazo_de_Presentacion_de_Oferta/Fecha"	"string"
"Hora (Plazo de presentación de Oferta)"	"Plazo_de_Presentacion_de_Oferta/Hora"	"string"
"Observaciones (Plazo de presentación de Oferta)"	"Plazo_de_Presentacion_de_Oferta/Observaciones"	"string"
"Plazo de presentación de Oferta (Plazo de presentación de Oferta)"	"Plazo_de_Presentacion_de_Oferta/Plazo_de_Presentacion_de_Oferta"	"string"
"Fecha (Plazo de Presentación de Solicitudes)"	"Plazo_de_Presentacion_de_Solicitudes/Fecha"	"string"
"Hora (Plazo de Presentación de Solicitudes)"	"Plazo_de_Presentacion_de_Solicitudes/Hora"	"string"
"Observaciones (Plazo de Presentación de Solicitudes)"	"Plazo_de_Presentacion_de_Solicitudes/Observaciones"	"string"
"Presentación de Solicitudes (Fecha)"	"Presentacion_de_Solicitudes/Fecha"	"string"
"Presentación de Solicitudes (Hora)"	"Presentacion_de_Solicitudes/Hora"	"string"
"Directiva europea de aplicación (Proceso de licitación)"	"Proceso_de_licitacion/Directiva_Europea_de_Aplicacion"	"string"
"Idioma de Presentación de Oferta (Proceso de licitación)"	"Proceso_de_licitacion/Idioma_de_Presentacion_de_Oferta"	"string"
"La licitación hace uso de subasta electrónica (Proceso de licitación)"	"Proceso_de_licitacion/Uso_de_Subasta_Electronica"	"string"
"Medio de presentación de ofertas electrónicas (Proceso de licitación)"	"Proceso_de_licitacion/Medio_de_Presentacion_de_Ofertas_Electronicas"	"string"
"Presentación de Oferta (Fecha)"	"Proceso_de_Licitacion/Presentacion_de_la_Oferta/Fecha"	"string"
"Presentación de Oferta (Hora)"	"Proceso_de_Licitacion/Presentacion_de_la_Oferta/Hora"	"string"
"Presentación de la oferta (Proceso de licitación)"	"Proceso_de_licitacion/Presentacion_de_la_oferta/Numero"	"string"
"Presentación de Oferta"	"Proceso_de_licitacion/Presentacion_de_la_oferta/Numero"	"string"
"Presentación de Oferta (Observaciones)"	"Proceso_de_Licitacion/Presentacion_de_la_Oferta/Observaciones"	"string"
"Sistema de contratación (Proceso de licitación)"	"Proceso_de_Licitacion/Sistema_de_Contratacion"	"string"
"Tipo de Procedimiento"	"Proceso_de_licitacion/Tipo_de_procedimiento"	"string"
"Tipo de procedimiento (Proceso de licitación)"	"Proceso_de_licitacion/Tipo_de_procedimiento"	"string"
"Tipo de tramitación (Proceso de licitación)"	"Proceso_de_Licitacion/Tipo_de_Tramitacion"	"string"
"ContractFolderStatus_TenderingProcess_OverThresholdIndicator (Unmatched)"	"Proceso_de_Participacion/OverThresholdIndicator"	"string"
"ContractFolderStatus - ProcurementProjectLot - IDschemeName"	"ProcurementProjectLot_IDschemeName"	"string"
"Agencia (Publicaciones oficiales)"	"Publicaciones_Oficiales/Agencia"	"string"
"Documento publicado (FileName) (Publicaciones oficiales)"	"Publicaciones_Oficiales/Documento_Publicado/Archivo"	"string"
"Documento publicado (URI) (Publicaciones oficiales)"	"Publicaciones_Oficiales/Documento_Publicado/URI"	"string"
"Fecha de envío de anuncio al diario oficial (Publicaciones oficiales)"	"Publicaciones_Oficiales/Fecha_de_Envio_de_Anuncio_al_Diario_Oficial"	"string"
"Fecha de Publicación (Publicaciones oficiales)"	"Publicaciones_Oficiales/Fecha_de_Publicacion"	"string"
"Medio de Publicación (Publicaciones oficiales)"	"Publicaciones_Oficiales/Medio_de_Publicacion"	"string"
"Tipo de Anuncio"	"Publicaciones_oficiales/Tipo_de_Anuncio"	"string"
"Tipo de Anuncio (Publicaciones oficiales)"	"Publicaciones_Oficiales/Tipo_de_Anuncio"	"string"
"Tipo de documento publicado (Publicaciones oficiales)"	"Publicaciones_Oficiales/Tipo_de_Documento_Publicado"	"string"
"Condiciones de admisión (código) (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Condiciones_de_Admision/Codigo"	"string"
"Condiciones de admisión (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Condiciones_de_Admision/Descripcion"	"string"
"Criterio de evaluación económica-financiera (código) (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Economica_Financiera/Codigo"	"string"
"Criterio de evaluación económica-financiera (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Economica_Financiera/Descripcion"	"string"
"Criterio de evaluación económica-financiera (threshold) (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Economica_Financiera/Valor_de_Corte"	"string"
"Criterio de evaluación técnica (código) (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Tecnica/Codigo"	"string"
"Criterio de evaluación técnica (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_Tecnica/Descripcion"	"string"
"Criterio de evaluación técnica (threshold) (Requisitos de Participación del Lote)"	"Requisitos_de_Participacion_del_Lote/Criterio_de_Evaluacion_tecnica/Valor_de_Corte"	"string"
"Calificación empresarial solicitada (Requisitos de Participación)"	"Requisitos_de_Participacion/Calificacion_Empresarial_Solicitada/Codigo"	"string"
"ContractFolderStatus_TenderingTerms_TendererQualificationRequest_RequiredBusinessClassificationScheme_ID (Unmatched)"	"Requisitos_de_Participacion/Calificacion_Empresarial_Solicitada/ID"	"string"
"Cóndiciones de admisión (Requisitos de Participación)"	"Requisitos_de_Participacion/Condiciones_de_Admision"	"string"
"Condiciones de admisión (código) (Requisitos de Participación)"	"Requisitos_de_Participacion/Condiciones_de_Admision_Codigo"	"string"
"Criterio de evaluación económica-financiera (código) (Requisitos de Participación)"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Economica_Financiera/Codigo"	"string"
"Criterio de evaluación económica-financiera (Requisitos de Participación)"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Economica_Financiera/Descripcion"	"string"
"Criterio de evaluación económica-financiera (threshold) (Requisitos de Participación)"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Economica_Financiera/Valor_de_Corte"	"string"
"Criterio de evaluación técnica (código) (Requisitos de Participación)"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Tecnica/Codigo"	"string"
"Criterio de evaluación técnica (Requisitos de Participación)"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Tecnica/Descripcion"	"string"
"Criterio de evaluación técnica (threshold) (Requisitos de Participación)"	"Requisitos_de_Participacion/Criterio_de_Evaluacion_Tecnica/Valor_de_Corte"	"string"
"Empleados (cantidad) (Requisitos de Participación)"	"Requisitos_de_Participacion/Empleados/Cantidad"	"string"
"Empleados (descripción) (Requisitos de Participación)"	"Requisitos_de_Participacion/Empleados/Descripcion"	"string"
"Experiencia (cantidad) (Requisitos de Participación)"	"Requisitos_de_Participacion/Experiencia/Cantidad"	"string"
"Experiencia (descripción) (Requisitos de Participación)"	"Requisitos_de_Participacion/Experiencia/Descripcion"	"string"
"ContractFolderStatus_TenderingTerms_ProcurementNationalLegislationCode (Unmatched)"	"Requisitos_de_Participacion/ProcurementNationalLegislationCode"	"string"
"Solvencia Requerida (Requisitos de Participación)"	"Requisitos_de_Participacion/Solvencia_Requerida"	"string"
"Título habilitante (Requisitos de Participación)"	"Requisitos_de_Participacion/Titulo_Habilitante"	"string"
"Fecha del acuerdo (Resultado del procedimiento)"	"Resultado_del_procedimiento/Fecha_del_Acuerdo"	"string"
"Lote (Resultado del procedimiento)"	"Resultado_del_procedimiento/Lote"	"string"
"Motivación (Resultado del procedimiento)"	"Resultado_del_procedimiento/Motivacion"	"string"
"Número de ofertas recibidas de pymes (Resultado del procedimiento)"	"Resultado_del_procedimiento/Numero_de_Ofertas_Recibidas_de_Pymes"	"string"
"Ofertas recibidas (Resultado del procedimiento)"	"Resultado_del_procedimiento/Ofertas_Recibidas"	"string"
"Ofertas recibidas de extranjeros comunitarios (UE) (Resultado del procedimiento)"	"Resultado_del_procedimiento/Ofertas_Recibidas_de_Extranjeros_Comunitarios"	"string"
"Ofertas recibidas de extranjeros no comunitarios (NO UE) (Resultado del procedimiento)"	"Resultado_del_procedimiento/Ofertas_Recibidas_de_Extranjeros_No_Comunitarios"	"string"
"Precio de la oferta más alta (Resultado del procedimiento)"	"Resultado_del_procedimiento/Precio_de_la_Oferta_Mas_Alta"	"string"
"Precio de la oferta más baja (Resultado del procedimiento)"	"Resultado_del_procedimiento/Precio_de_la_Oferta_Mas_Baja"	"string"
"Resultado (Resultado del procedimiento)"	"Resultado_del_procedimiento/Resultado"	"string"
"Se han excluido ofertas por ser anormalmente bajas (Resultado del procedimiento)"	"Resultado_del_procedimiento/Se_han_Excluido_Ofertas_por_ser_Anormalmente_Bajas"	"string"
"Descripción (Subcontratación permitida)"	"Subcontratacion_Permitida/Descripcion"	"string"
"Porcentaje (Subcontratación permitida)"	"Subcontratacion_Permitida/Porcentaje"	"string"
"summary"	"summary"	"string"
"title"	"title"	"string"
"updated"	"updated"	"string"
