"ORIGINAL"	"DBFIELD"	"TYPE"
"ContractFolderStatus - LocatedContractingParty - Party - PostalAddress - Country - IdentificationCode"	"LocatedContractingParty_Country_IdentificationCode" "string"
"ContractFolderStatus - LocatedContractingParty - Party - PostalAddress - Country - Name"	"LocatedContractingParty_Country_Name"	"string"
"ContractFolderStatus - LocatedContractingParty - Party - Contact - Name"	"LocatedContractingParty_Contact_Name" "string"
"ContractFolderStatus - LocatedContractingParty - Party - Contact - Telephone"	"LocatedContractingParty_Contact_Telephone" "string"
"ContractFolderStatus - LocatedContractingParty - Party - Contact - Telefax"	"LocatedContractingParty_Contact_Telefax" "string"
"ContractFolderStatus - LocatedContractingParty - Party - Contact - ElectronicMail"	"LocatedContractingParty_Contact_ElectronicMail" "string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_PartyIdentification_ID" "string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_PartyIdentification_ID2"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_PartyIdentification_ID3" "string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_PartyName_Name" "string"
"domain"	"domain"	"string"
"file name"	"file_name"	"string"
"entry"	"entry"	"string"
"deleted_on"	"deleted_on"	"string"
"Importe total ofertado (sin impuestos)"	"Importe_total_ofertado_sin impuestos"	"string"
"Presentación de Oferta (Observaciones)"	"Presentacion-Oferta-Observaciones"	"string"
"Subtipo"	"Subtipo"	"string"
"Presupuesto base con impuestos"	"Presupuesto_base_con_impuestos"	"string"
"Subentidad Territorial"	"Subentidad_Territorial"	"string"
"ContractFolderStatus - ProcurementProject - RealizedLocation - Address - Country - IdentificationCode"	"ProcurementProject_RealizedLocation_Country_IdentificationCode"	"string"
"ContractFolderStatus - ProcurementProject - RealizedLocation - Address - Country - Name"	"ProcurementProject_RealizedLocation_Country_Name"	"string"
"Nümero de Lote"	"Numero_Lote"	"string"
"Objeto"	"Objeto"	"string"
"Importe con impuestos"	"Importe_con_impuestos"	"string"
"Importe sin impuestos"	"Importe_sin_impuestos"	"string"
"Clasificación CPV (Lote)"	"Clasificacion_CPV_Lote"	"string"
"ContractFolderStatus - ProcurementProjectLot - ProcurementProject - RealizedLocation - CountrySubentity"	"ProcurementProjectLot_ProcurementProject_RealizedLocation_CountrySubentity"	"string"
"ContractFolderStatus - ProcurementProjectLot - ProcurementProject - RealizedLocation - CountrySubentityCode"	"ProcurementProjectLot_ProcurementProject_RealizedLocation_CountrySubentityCode"	"string"
"ContractFolderStatus - ProcurementProjectLot - ProcurementProject - RealizedLocation - Address - Country - IdentificationCode"	"ProcurementProjectLot_ProcurementProject_RealizedLocation_Country_IdentificationCode"	"string"
"ContractFolderStatus - ProcurementProjectLot - ProcurementProject - RealizedLocation - Address - Country - Name"	"ProcurementProjectLot_ProcurementProject_RealizedLocation_Country_Name"	"string"
"ContractFolderStatus - TenderResult - Description"	"TenderResult_Description"	"string"
"Fecha del Acuerdo"	"Fecha_Acuerdo"	"string"
"ContractFolderStatus - TenderResult - SMEsReceivedTenderQuantity"	"TenderResult_SMEsReceivedTenderQuantity"	"string"
"ContractFolderStatus - TenderResult - SMEAwardedIndicator"	"TenderResult_SMEAwardedIndicator"	"string"
"ContractFolderStatus - TenderResult - Contract - ID"	"TenderResult_Contract_ID"	"string"
"ContractFolderStatus - TenderResult - Contract - IssueDate"	"TenderResult_Contract_IssueDate"	"string"
"Importe total ofertado (con impuestos)"	"Importe_total_ofertado_con_impuestos"	"string"
"ContractFolderStatus - TenderResult - SubcontractTerms - Description"	"TenderResult_SubcontractTerms_Description"	"string"
"ContractFolderStatus - TenderingTerms - RequiredCurriculaIndicator"	"TenderingTerms_RequiredCurriculaIndicator"	"string"
"ContractFolderStatus - TenderingTerms - FundingProgramCode"	"TenderingTerms_FundingProgramCode"	"string"
"ContractFolderStatus - TenderingTerms - ReceivedAppealQuantity"	"TenderingTerms_ReceivedAppealQuantity"	"string"
"ContractFolderStatus - TenderingTerms - ProcurementLegislationDocumentReference - ID"	"TenderingTerms_ProcurementLegislationDocumentReference_ID"	"string"
"ContractFolderStatus - TenderingTerms - Language - ID"	"TenderingTerms_Language_ID"	"string"
"ContractFolderStatus - TenderingProcess - UrgencyCode"	"TenderingProcess_UrgencyCode"	"string"
"ContractFolderStatus - TenderingProcess - PartPresentationCode"	"TenderingProcess_PartPresentationCode"	"string"
"ContractFolderStatus - TenderingProcess - ContractingSystemCode"	"TenderingProcess_ContractingSystemCode"	"string"
"ContractFolderStatus - TenderingProcess - SubmissionMethodCode"	"TenderingProcess_SubmissionMethodCode"	"string"
"ContractFolderStatus - TenderingProcess - OverThresholdIndicator"	"TenderingProcess_OverThresholdIndicator"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - ID"	"GeneralDocument_GeneralDocumentDocumentReference_ID"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - DocumentTypeCode"	"GeneralDocument_GeneralDocumentDocumentReference_DocumentTypeCode"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - Attachment - ExternalReference - URI"	"GeneralDocument_GeneralDocumentDocumentReference_URI"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - Attachment - ExternalReference - FileName"	"GeneralDocument_GeneralDocumentDocumentReference_FileName"	"string"
"ContractFolderStatus - LocatedContractingParty - Party - WebsiteURI"	"LocatedContractingParty_WebsiteURI"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
"ContractFolderStatus - TenderResult - LowerTenderAmount"	"TenderResult_LowerTenderAmount"	"string"
"ContractFolderStatus - TenderResult - HigherTenderAmount"	"TenderResult_HigherTenderAmount"	"string"
"ContractFolderStatus - TenderResult - WinningParty - PhysicalLocation - Address - Country - IdentificationCode"	"TenderResult_WinningParty_PhysicalLocation_Country_IdentificationCode"	"string"
"ContractFolderStatus - TenderingTerms - VariantConstraintIndicator"	"TenderingTerms_VariantConstraintIndicator"	"string"
"ContractFolderStatus - TenderingTerms - FundingProgram"	"TenderingTerms_FundingProgram"	"string"
"ContractFolderStatus - TenderingTerms - RequiredFinancialGuarantee - GuaranteeTypeCode"	"TenderingTerms_RequiredFinancialGuarantee_GuaranteeTypeCode"	"string"
"ContractFolderStatus - TenderingTerms - RequiredFinancialGuarantee - AmountRate"	"TenderingTerms_RequiredFinancialGuarantee_AmountRate"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - TechnicalEvaluationCriteria - EvaluationCriteriaTypeCode"	"TenderingTerms_TendererQualificationRequest_TechnicalEvaluationCriteria_EvaluationCriteriaTypeCode"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - TechnicalEvaluationCriteria - Description"	"TenderingTerms_TendererQualificationRequest_TechnicalEvaluationCriteria_Description"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - FinancialEvaluationCriteria - EvaluationCriteriaTypeCode"	"TenderingTerms_TendererQualificationRequest_FinancialEvaluationCriteria_EvaluationCriteriaTypeCode"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - FinancialEvaluationCriteria - Description"	"TenderingTerms_TendererQualificationRequest_FinancialEvaluationCriteria_Description"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - SpecificTendererRequirement - RequirementTypeCode"	"TenderingTerms_TendererQualificationRequest_SpecificTendererRequirement_RequirementTypeCode"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - SpecificTendererRequirement - Description"	"TenderingTerms_TendererQualificationRequest_SpecificTendererRequirement_Description"	"string"
"ContractFolderStatus - TenderingTerms - ContractExecutionRequirement - Name"	"TenderingTerms_ContractExecutionRequirement_Name"	"string"
"ContractFolderStatus - TenderingTerms - ContractExecutionRequirement - ExecutionRequirementCode"	"TenderingTerms_ContractExecutionRequirement_ExecutionRequirementCode"	"string"
"ContractFolderStatus - TenderingTerms - ContractExecutionRequirement - Description"	"TenderingTerms_ContractExecutionRequirement_Description"	"string"
"ContractFolderStatus - TenderingTerms - AwardingTerms - AwardingCriteria - AwardingCriteriaTypeCode"	"TenderingTerms_AwardingTerms_AwardingCriteria_AwardingCriteriaTypeCode"	"string"
"ContractFolderStatus - TenderingTerms - AwardingTerms - AwardingCriteria - Description"	"TenderingTerms_AwardingTerms_AwardingCriteria_Description"	"string"
"ContractFolderStatus - TenderingTerms - AwardingTerms - AwardingCriteria - Note"	"TenderingTerms_AwardingTerms_AwardingCriteria_Note"	"string"
"ContractFolderStatus - TenderingTerms - AwardingTerms - AwardingCriteria - AwardingCriteriaSubTypeCode"	"TenderingTerms_AwardingTerms_AwardingCriteria_AwardingCriteriaSubTypeCode"	"string"
"ContractFolderStatus - TenderingTerms - AwardingTerms - AwardingCriteria - WeightNumeric"	"TenderingTerms_AwardingTerms_AwardingCriteria_WeightNumeric"	"string"
"ContractFolderStatus - TenderingTerms - TenderRecipientParty - EndpointID"	"TenderingTerms_TenderRecipientParty_EndpointID"	"string"
"ContractFolderStatus - TenderingProcess - DocumentAvailabilityPeriod - EndDate"	"TenderingProcess_DocumentAvailabilityPeriod_EndDate"	"string"
"ContractFolderStatus - TenderingProcess - DocumentAvailabilityPeriod - EndTime"	"TenderingProcess_DocumentAvailabilityPeriod_EndTime"	"string"
"ContractFolderStatus - LegalDocumentReference - Attachment - ExternalReference - DocumentHash"	"LegalDocumentReference_Attachment_ExternalReference_DocumentHash"	"string"
"ContractFolderStatus - TechnicalDocumentReference - Attachment - ExternalReference - DocumentHash"	"TechnicalDocumentReference_Attachment_ExternalReference_DocumentHash"	"string"
"ContractFolderStatus - ValidNoticeInfo - AdditionalPublicationStatus - AdditionalPublicationRequest - AgencyID"	"ValidNoticeInfo_AdditionalPublicationStatus_AdditionalPublicationRequest_AgencyID"	"string"
"ContractFolderStatus - ValidNoticeInfo - AdditionalPublicationStatus - AdditionalPublicationRequest - SendDate"	"ValidNoticeInfo_AdditionalPublicationStatus_AdditionalPublicationRequest_SendDate"	"string"
"ContractFolderStatus - ValidNoticeInfo - AdditionalPublicationStatus - AdditionalPublicationDocumentReference - DocumentTypeCode"	"ValidNoticeInfo_AdditionalPublicationStatus_AdditionalPublicationDocumentReference_DocumentTypeCode"	"string"
"ContractFolderStatus - ValidNoticeInfo - AdditionalPublicationStatus - AdditionalPublicationDocumentReference - Attachment - ExternalReference - URI"	"ValidNoticeInfo_AdditionalPublicationStatus_AdditionalPublicationDocumentReference_Attachment_ExternalReference_URI"	"string"
"ContractFolderStatus - ValidNoticeInfo - AdditionalPublicationStatus - AdditionalPublicationDocumentReference - Attachment - ExternalReference - FileName"	"ValidNoticeInfo_AdditionalPublicationStatus_AdditionalPublicationDocumentReference_Attachment_ExternalReference_FileName"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - PersonalSituation"	"TenderingTerms_TendererQualificationRequest_PersonalSituation"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - FinancialEvaluationCriteria - ThresholdQuantity"	"TenderingTerms_TendererQualificationRequest_FinancialEvaluationCriteria_ThresholdQuantity"	"string"
"Anexos a los pliegos"	"Anexos_pliegos"	"string"
"Anexos a los pliegos (URI)"	"Anexos_pliegos_URI"	"string"
"ContractFolderStatus - AdditionalDocumentReference - Attachment - ExternalReference - DocumentHash"	"ContractFolderStatus_AdditionalDocumentReference_Attachment_ExternalReference_DocumentHash"	"string"
"Población"	"Poblacion"	"string"
"ContractFolderStatus - ProcurementProject - RealizedLocation - Address - PostalZone"	"ProcurementProject_RealizedLocation_Address_PostalZone"	"string"
"ContractFolderStatus - ProcurementProject - ContractExtension - OptionValidityPeriod - Description"	"ProcurementProject_ContractExtension_OptionValidityPeriod_Description"	"string"
"ContractFolderStatus - TenderingProcess - AuctionTerms - AuctionConstraintIndicator"	"TenderingProcess_AuctionTerms_ AuctionConstraintIndicator"	"string"
"ContractFolderStatus - TenderingTerms - PriceRevisionFormulaDescription"	"TenderingTerms_PriceRevisionFormulaDescription"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - TechnicalEvaluationCriteria - ThresholdQuantity"	"TenderingTerms_TendererQualificationRequest_TechnicalEvaluationCriteria_ThresholdQuantity"	"string"
"ContractFolderStatus - TenderingTerms - AllowedSubcontractTerms - Description"	"TenderingTerms_AllowedSubcontractTerms_Description"	"string"
"ContractFolderStatus - TenderingProcess - EconomicOperatorShortList - LimitationDescription"	"TenderingProcess_EconomicOperatorShortList_LimitationDescription"	"string"
"ContractFolderStatus - TenderingProcess - EconomicOperatorShortList - ExpectedQuantity"	"TenderingProcess_EconomicOperatorShortList_ExpectedQuantity"	"string"
"ContractFolderStatus - TenderResult - StartDate"	"TenderResult_StartDate"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - RequiredBusinessClassificationScheme - ID"	"TenderingTerms_TendererQualificationRequest_RequiredBusinessClassificationScheme_ID"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - RequiredBusinessClassificationScheme - ClassificationCategory - CodeValue"	"TenderingTerms_TendererQualificationRequest_RequiredBusinessClassificationScheme_ClassificationCategory_CodeValue"	"string"
"ContractFolderStatus - TenderResult - EUNationalsReceivedTenderQuantity"	"TenderResult_EUNationalsReceivedTenderQuantity"	"string"
"ContractFolderStatus - TenderResult - NonEUNationalsReceivedTenderQuantity"	"TenderResult_NonEUNationalsReceivedTenderQuantity"	"string"
"ContractFolderStatus - TenderResult - WinningParty - PhysicalLocation - CountrySubentityCode"	"TenderResult_WinningParty_PhysicalLocation_CountrySubentityCode"	"string"
"ContractFolderStatus - TenderResult - WinningParty - PhysicalLocation - Address - CityName"	"TenderResult_WinningParty_PhysicalLocation_Address_CityName"	"string"
"ContractFolderStatus - TenderResult - WinningParty - PhysicalLocation - Address - PostalZone"	"TenderResult_WinningParty_PhysicalLocation_Address_PostalZone"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - AwardingTerms - AwardingCriteria - AwardingCriteriaTypeCode"	"ProcurementProjectLot_TenderingTerms_AwardingTerms_AwardingCriteria_AwardingCriteriaTypeCode"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - AwardingTerms - AwardingCriteria - Description"	"ProcurementProjectLot_TenderingTerms_AwardingTerms_AwardingCriteria_Description"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - AwardingTerms - AwardingCriteria - AwardingCriteriaSubTypeCode"	"ProcurementProjectLot_TenderingTerms_AwardingTerms_AwardingCriteria_AwardingCriteriaSubTypeCode"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - AwardingTerms - AwardingCriteria - WeightNumeric"	"ProcurementProjectLot_TenderingTerms_AwardingTerms_AwardingCriteria_WeightNumeric"	"string"
"ContractFolderStatus - TenderingProcess - MaximumLotPresentationQuantity"	"TenderingProcess_MaximumLotPresentationQuantity"	"string"
"ContractFolderStatus - TenderingProcess - MaximumTendererAwardedLotsQuantity"	"TenderingProcess_MaximumTendererAwardedLotsQuantity"	"string"
"ContractFolderStatus - ProcurementProject - ContractExtension - OptionsDescription"	"ProcurementProject_ContractExtension_OptionsDescription"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - TechnicalEvaluationCriteria - EvaluationCriteriaTypeCode"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_TechnicalEvaluationCriteria_EvaluationCriteriaTypeCode"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - TechnicalEvaluationCriteria - Description"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_TechnicalEvaluationCriteria_Description"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - TechnicalEvaluationCriteria - ThresholdQuantity"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_TechnicalEvaluationCriteria_ThresholdQuantity"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - FinancialEvaluationCriteria - EvaluationCriteriaTypeCode"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_FinancialEvaluationCriteria_EvaluationCriteriaTypeCode"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - FinancialEvaluationCriteria - Description"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_FinancialEvaluationCriteria_Description"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - FinancialEvaluationCriteria - ThresholdQuantity"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_FinancialEvaluationCriteria_ThresholdQuantity"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - SpecificTendererRequirement - RequirementTypeCode"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_SpecificTendererRequirement_RequirementTypeCode"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - TendererQualificationRequest - SpecificTendererRequirement - Description"	"ProcurementProjectLot_TenderingTerms_TendererQualificationRequest_SpecificTendererRequirement_Description"	"string"
"ContractFolderStatus - ProcurementProjectLot - TenderingTerms - AwardingTerms - AwardingCriteria - Note"	"ProcurementProjectLot_TenderingTerms_AwardingTerms_AwardingCriteria_Note"	"string"
"ContractFolderStatus - ContractModification - ID"	"ContractModification_ID"	"string"
"ContractFolderStatus - ContractModification - ContractID"	"ContractModification_ContractID"	"string"
"ContractFolderStatus - ContractModification - ContractModificationLegalMonetaryTotal - TaxExclusiveAmount"	"ContractModification_ContractModificationLegalMonetaryTotal_TaxExclusiveAmount"	"string"
"ContractFolderStatus - ContractModification - FinalLegalMonetaryTotal - TaxExclusiveAmount"	"ContractModification_FinalLegalMonetaryTotal_TaxExclusiveAmount"	"string"
"ContractFolderStatus - TenderResult - AbnormallyLowTendersIndicator"	"TenderResult_AbnormallyLowTendersIndicator"	"string"
"ContractFolderStatus - TenderingProcess - LotsCombinationContractingAuthorityRights"	"TenderingProcess_LotsCombinationContractingAuthorityRights"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_PartyIdentification_ID"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - Description"	"TenderingTerms_TendererQualificationRequest_Description"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - OperatingYearsQuantity"	"TenderingTerms_TendererQualificationRequest_OperatingYearsQuantity"	"string"
"ContractFolderStatus - TenderingTerms - TendererQualificationRequest - OperatingYearsDescription"	"TenderingTerms_TendererQualificationRequest_OperatingYearsDescription"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_PartyIdentification_ID"	"string"
"ContractFolderStatus - TenderingTerms - RequiredFinancialGuarantee - LiabilityAmount"	"TenderingTerms_RequiredFinancialGuarantee_LiabilityAmount"	"string"
"ContractFolderStatus - TenderingTerms - AllowedSubcontractTerms - Rate"	"TenderingTerms_AllowedSubcontractTerms_Rate"	"string"
"ContractFolderStatus - TenderResult - WinningParty - PartyLegalEntity - CompanyTypeCode"	"TenderResult_WinningParty_PartyLegalEntity_CompanyTypeCode"	"string"
"ContractFolderStatus - TenderResult - SubcontractTerms - Rate"	"TenderResult_SubcontractTerms_Rate"	"string"
"ContractFolderStatus - TenderingProcess - EconomicOperatorShortList - MaximumQuantity"	"TenderingProcess_EconomicOperatorShortList_MaximumQuantity"	"string"
"ContractFolderStatus - TenderingProcess - EconomicOperatorShortList - MinimumQuantity"	"TenderingProcess_EconomicOperatorShortList_MinimumQuantity"	"string"
"ContractFolderStatus - ContractModification - ContractModificationDurationMeasure"	"ContractModification_ContractModificationDurationMeasure"	"string"
