"ORIGINAL"	"DBFIELD"	"TYPE"
"Criterio de evaluación económica-financiera (Requisitos de Participación)"	"Criterio_de_evaluacion_economica-financiera_(Requisitos_de_Participacion)"	"string"
"Criterio de evaluación técnica (código) (Requisitos de Participación)"	"Criterio_de_evaluacion_tecnica_(codigo)_(Requisitos_de_Participacion)"	"string"
"Criterio de evaluación técnica (Requisitos de Participación)"	"Criterio_de_evaluacion_tecnica_(Requisitos_de_Participacion)"	"string"
"Criterios objetivos para la selección del número limitado de candidatos (Limitación del número de licitadores a los que se invitará)"	"Criterios_objetivos_para_la_seleccion_del_numero_limitado_de_candidatos_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Descripción (Criterio de Adjudicación)"	"Descripcion_(Criterio_de_Adjudicacion)"	"string"
"Descripción de Programas de Financiación (Condiciones de Licitación)"	"Descripcion_de_Programas_de_Financiacion_(Condiciones_de_Licitacion)"	"string"
"Descripción (Subcontratación permitida)"	"Descripcion_(Subcontratacion_permitida)"	"string"
"Directiva europea de aplicación (Proceso de licitación)"	"Directiva_europea_de_aplicacion_(Proceso_de_licitacion)"	"string"
"Documento publicado (FileName) (Otros documentos publicados)"	"Documento_publicado_(FileName)_(Otros_documentos_publicados)"	"string"
"Documento publicado (FileName) (Publicaciones oficiales)"	"Documento_publicado_(FileName)_(Publicaciones_oficiales)"	"string"
"Documento publicado (ID) (Otros documentos publicados)"	"Documento_publicado_(ID)_(Otros_documentos_publicados)"	"string"
"Documento publicado (URI) (Otros documentos publicados)"	"Documento_publicado_(URI)_(Otros_documentos_publicados)"	"string"
"Documento publicado (URI) (Publicaciones oficiales)"	"Documento_publicado_(URI)_(Publicaciones_oficiales)"	"string"
"El adjudicatario es una PYME (Adjudicatario)"	"El_adjudicatario_es_una_PYME_(Adjudicatario)"	"string"
"El poder adjudicador se reserva el derecho de adjudicar contratos que combinen lotes (Limitación del número de licitadores a los que se invitará)"	"El_poder_adjudicador_se_reserva_el_derecho_de_adjudicar_contratos_que_combinen_lotes_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Especificar personal y cualificación Profesional (CCVV) (Condiciones de Licitación)"	"Especificar_personal_y_cualificacion_Profesional_(CCVV)_(Condiciones_de_Licitacion)"	"string"
"Estado (Datos Generales del Expediente)"	"Estado_(Datos_Generales_del_Expediente)"	"string"
"Fax (Entidad Adjudicadora)"	"Fax_(Entidad_Adjudicadora)"	"string"
"Fecha de entrada en Vigor del Contrato (Información sobre el Contrato)"	"Fecha_de_entrada_en_Vigor_del_Contrato_(Informacion_sobre_el_Contrato)"	"string"
"Fecha de envío de anuncio al diario oficial (Publicaciones oficiales)"	"Fecha_de_envio_de_anuncio_al_diario_oficial_(Publicaciones_oficiales)"	"string"
"Fecha de Formalización (Información sobre el Contrato)"	"Fecha_de_Formalizacion_(Informacion_sobre_el_Contrato)"	"string"
"Fecha de Publicación (Publicaciones oficiales)"	"Fecha_de_Publicacion_(Publicaciones_oficiales)"	"string"
"Fecha del acuerdo (Resultado del procedimiento)"	"Fecha_del_acuerdo_(Resultado_del_procedimiento)"	"string"
"Fecha (Plazo de Obtención de Pliegos)"	"Fecha_(Plazo_de_Obtencion_de_Pliegos)"	"string"
"Fecha (Plazo de presentación de Oferta)"	"Fecha_(Plazo_de_presentacion_de_Oferta)"	"string"
"Fórmula de Revisión de Precios (Condiciones de Licitación)"	"Formula_de_Revision_de_Precios_(Condiciones_de_Licitacion)"	"string"
"Hora (Plazo de Obtención de Pliegos)"	"Hora_(Plazo_de_Obtencion_de_Pliegos)"	"string"
"Hora (Plazo de presentación de Oferta)"	"Hora_(Plazo_de_presentacion_de_Oferta)"	"string"
"ID del Lote (Datos Generales del Expediente del Lote)"	"ID_del_Lote_(Datos_Generales_del_Expediente_del_Lote)"	"string"
"ID (Entidad Adjudicadora)"	"ID_(Entidad_Adjudicadora)"	"string"
"Identificador (Adjudicatario)"	"Identificador_(Adjudicatario)"	"string"
"Idioma de Presentación de Oferta (Proceso de licitación)"	"Idioma_de_Presentacion_de_Oferta_(Proceso_de_licitacion)"	"string"
"Importe (Garantía Requerida Provisional)"	"Importe_(Garantia_Requerida_Provisional)"	"string"
"Importe sin impuestos de la modificación (Modificaciones de contrato)"	"Importe_sin_impuestos_de_la_modificacion_(Modificaciones_de_contrato)"	"string"
"Importe sin impuestos del contrato tras la modificación (Modificaciones de contrato)"	"Importe_sin_impuestos_del_contrato_tras_la_modificacion_(Modificaciones_de_contrato)"	"string"
"Importe total ofertado (con impuestos) (Importes de Adjudicación)"	"Importe_total_ofertado_(con_impuestos)_(Importes_de_Adjudicacion)"	"string"
"Importe total ofertado (sin impuestos) (Importes de Adjudicación)"	"Importe_total_ofertado_(sin_impuestos)_(Importes_de_Adjudicacion)"	"string"
"La licitación hace uso de subasta electrónica (Proceso de licitación)"	"La_licitacion_hace_uso_de_subasta_electronica_(Proceso_de_licitacion)"	"string"
"Lote (Resultado del procedimiento)"	"Lote_(Resultado_del_procedimiento)"	"string"
"Medio de Publicación (Publicaciones oficiales)"	"Medio_de_Publicacion_(Publicaciones_oficiales)"	"string"
"Motivación (Resultado del procedimiento)"	"Motivacion_(Resultado_del_procedimiento)"	"string"
"Nombre del adjudicatario (Adjudicatario)"	"Nombre_del_adjudicatario_(Adjudicatario)"	"string"
"Nombre (Entidad Adjudicadora)"	"Nombre_(Entidad_Adjudicadora)"	"string"
"Nombre para contacto (Entidad Adjudicadora)"	"Nombre_para_contacto_(Entidad_Adjudicadora)"	"string"
"Número de Contrato (Información sobre el Contrato)"	"Numero_de_Contrato_(Informacion_sobre_el_Contrato)"	"string"
"Número de Contrato (Modificaciones de contrato)"	"Numero_de_Contrato_(Modificaciones_de_contrato)"	"string"
"Número de Expediente (Datos Generales del Expediente)"	"Numero_de_Expediente_(Datos_Generales_del_Expediente)"	"string"
"Número de la modificación (Modificaciones de contrato)"	"Numero_de_la_modificacion_(Modificaciones_de_contrato)"	"string"
"Número de lotes a los que se debe ofertar (Limitación del número de licitadores a los que se invitará)"	"Numero_de_lotes_a_los_que_se_debe_ofertar_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Número de lotes a los que se puede ofertar (Limitación del número de licitadores a los que se invitará)"	"Numero_de_lotes_a_los_que_se_puede_ofertar_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Número máximo de lotes que se puede adjudicar a un licitador (Limitación del número de licitadores a los que se invitará)"	"Numero_maximo_de_lotes_que_se_puede_adjudicar_a_un_licitador_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Número previsto de operadores (Limitación del número de licitadores a los que se invitará)"	"Numero_previsto_de_operadores_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Objeto del Contrato (Datos Generales del Expediente)"	"Objeto_del_Contrato_(Datos_Generales_del_Expediente)"	"string"
"Objeto del Lote (Datos Generales del Expediente del Lote)"	"Objeto_del_Lote_(Datos_Generales_del_Expediente_del_Lote)"	"string"
"Observaciones (Modificaciones de contrato)"	"Observaciones_(Modificaciones_de_contrato)"	"string"
"Observaciones (Plazo de presentación de Oferta)"	"Observaciones_(Plazo_de_presentacion_de_Oferta)"	"string"
"Ofertas recibidas (Resultado del procedimiento)"	"Ofertas_recibidas_(Resultado_del_procedimiento)"	"string"
"Opciones (Extensión de Contrato)"	"Opciones_(Extension_de_Contrato)"	"string"
"País (Entidad Adjudicadora)"	"Pais_(Entidad_Adjudicadora)"	"string"
"País (Lugar de ejecución del Lote)"	"Pais_(Lugar_de_ejecucion_del_Lote)"	"string"
"País (Lugar de ejecución)"	"Pais_(Lugar_de_ejecucion)"	"string"
"Período de validez de las opciones (Extensión de Contrato)"	"Periodo_de_validez_de_las_opciones_(Extension_de_Contrato)"	"string"
"Plazo de Ejecución (Comienzo) (Datos Generales del Expediente)"	"Plazo_de_Ejecucion_(Comienzo)_(Datos_Generales_del_Expediente)"	"string"
"Plazo de Ejecución (Duración) (Datos Generales del Expediente)"	"Plazo_de_Ejecucion_(Duracion)_(Datos_Generales_del_Expediente)"	"string"
"Plazo de Ejecución (Fin) (Datos Generales del Expediente)"	"Plazo_de_Ejecucion_(Fin)_(Datos_Generales_del_Expediente)"	"string"
"Plazo de la Modificación (Modificaciones de contrato)"	"Plazo_de_la_Modificacion_(Modificaciones_de_contrato)"	"string"
"Plazo de presentación de Oferta (Plazo de presentación de Oferta)"	"Plazo_de_presentacion_de_Oferta_(Plazo_de_presentacion_de_Oferta)"	"string"
"Plazo total tras la modificación (Modificaciones de contrato)"	"Plazo_total_tras_la_modificacion_(Modificaciones_de_contrato)"	"string"
"Pliego de cláusulas administrativas (Datos Generales del Expediente)"	"Pliego_de_clausulas_administrativas_(Datos_Generales_del_Expediente)"	"string"
"Pliego de cláusulas administrativas (Hash) (Datos Generales del Expediente)"	"Pliego_de_clausulas_administrativas_(Hash)_(Datos_Generales_del_Expediente)"	"string"
"Pliego de cláusulas administrativas (URI) (Datos Generales del Expediente)"	"Pliego_de_clausulas_administrativas_(URI)_(Datos_Generales_del_Expediente)"	"string"
"Pliego de Prescripciones técnicas (Datos Generales del Expediente)"	"Pliego_de_Prescripciones_tecnicas_(Datos_Generales_del_Expediente)"	"string"
"Pliego de Prescripciones técnicas (Hash) (Datos Generales del Expediente)"	"Pliego_de_Prescripciones_tecnicas_(Hash)_(Datos_Generales_del_Expediente)"	"string"
"Pliego de Prescripciones técnicas (URI) (Datos Generales del Expediente)"	"Pliego_de_Prescripciones_tecnicas_(URI)_(Datos_Generales_del_Expediente)"	"string"
"Población (Entidad Adjudicadora)"	"Poblacion_(Entidad_Adjudicadora)"	"string"
"Población (Lugar de ejecución del Lote)"	"Poblacion_(Lugar_de_ejecucion_del_Lote)"	"string"
"Población (Lugar de ejecución)"	"Poblacion_(Lugar_de_ejecucion)"	"string"
"Ponderación (Criterio de Adjudicación)"	"Ponderacion_(Criterio_de_Adjudicacion)"	"string"
"Porcentaje de la garantía (Garantía Requerida Provisional)"	"Porcentaje_de_la_garantia_(Garantia_Requerida_Provisional)"	"string"
"Porcentaje (Subcontratación permitida)"	"Porcentaje_(Subcontratacion_permitida)"	"string"
"Precio de la oferta más alta (Resultado del procedimiento)"	"Precio_de_la_oferta_mas_alta_(Resultado_del_procedimiento)"	"string"
"Precio de la oferta más baja (Resultado del procedimiento)"	"Precio_de_la_oferta_mas_baja_(Resultado_del_procedimiento)"	"string"
"Presentación de la oferta (Proceso de licitación)"	"Presentacion_de_la_oferta_(Proceso_de_licitacion)"	"string"
"Presupuesto base con impuestos (Datos Generales del Expediente del Lote)"	"Presupuesto_base_con_impuestos_(Datos_Generales_del_Expediente_del_Lote)"	"string"
"Presupuesto base con impuestos (Datos Generales del Expediente)"	"Presupuesto_base_con_impuestos_(Datos_Generales_del_Expediente)"	"string"
"Presupuesto base sin impuestos (Datos Generales del Expediente del Lote)"	"Presupuesto_base_sin_impuestos_(Datos_Generales_del_Expediente_del_Lote)"	"string"
"Presupuesto base sin impuestos (Datos Generales del Expediente)"	"Presupuesto_base_sin_impuestos_(Datos_Generales_del_Expediente)"	"string"
"Programas de Financiación (Condiciones de Licitación)"	"Programas_de_Financiacion_(Condiciones_de_Licitacion)"	"string"
"Resultado (Resultado del procedimiento)"	"Resultado_(Resultado_del_procedimiento)"	"string"
"Se han excluido ofertas por ser anormalmente bajas (Resultado del procedimiento)"	"Se_han_excluido_ofertas_por_ser_anormalmente_bajas_(Resultado_del_procedimiento)"	"string"
"Sistema de contratación (Proceso de licitación)"	"Sistema_de_contratacion_(Proceso_de_licitacion)"	"string"
"Sitio Web (Entidad Adjudicadora)"	"Sitio_Web_(Entidad_Adjudicadora)"	"string"
"Solvencia Requerida (Requisitos de Participación)"	"Solvencia_Requerida_(Requisitos_de_Participacion)"	"string"
"Subentidad Territorial (Lugar de ejecución del Lote)"	"Subentidad_Territorial_(Lugar_de_ejecucion_del_Lote)"	"string"
"Subentidad Territorial (Lugar de ejecución)"	"Subentidad_Territorial_(Lugar_de_ejecucion)"	"string"
"Subtipo (Datos Generales del Expediente)"	"Subtipo_(Datos_Generales_del_Expediente)"	"string"
"Telefax (Entidad Adjudicadora)"	"Telefax_(Entidad_Adjudicadora)"	"string"
"Teléfono (Entidad Adjudicadora)"	"Telefono_(Entidad_Adjudicadora)"	"string"
"Tipo de Administración (Entidad Adjudicadora)"	"Tipo_de_Administracion_(Entidad_Adjudicadora)"	"string"
"Tipo de Anuncio (Publicaciones oficiales)"	"Tipo_de_Anuncio_(Publicaciones_oficiales)"	"string"
"Tipo de Contrato (Datos Generales del Expediente)"	"Tipo_de_Contrato_(Datos_Generales_del_Expediente)"	"string"
"Tipo de documento publicado (Publicaciones oficiales)"	"Tipo_de_documento_publicado_(Publicaciones_oficiales)"	"string"
"Tipo de Garantía (Garantía Requerida Provisional)"	"Tipo_de_Garantia_(Garantia_Requerida_Provisional)"	"string"
"Tipo de procedimiento (Proceso de licitación)"	"Tipo_de_procedimiento_(Proceso_de_licitacion)"	"string"
"Tipo de tramitación (Proceso de licitación)"	"Tipo_de_tramitacion_(Proceso_de_licitacion)"	"string"
"Título habilitante (Requisitos de Participación)"	"Titulo_habilitante_(Requisitos_de_Participacion)"	"string"
"Ubicación orgánica (2) (Entidad Adjudicadora Jerarquía)"	"Ubicacion_organica_(2)_(Entidad_Adjudicadora_Jerarquia)"	"string"
"Ubicación orgánica (3) (Entidad Adjudicadora Jerarquía)"	"Ubicacion_organica_(3)_(Entidad_Adjudicadora_Jerarquia)"	"string"
"Ubicación orgánica (4) (Entidad Adjudicadora Jerarquía)"	"Ubicacion_organica_(4)_(Entidad_Adjudicadora_Jerarquia)"	"string"
"Ubicación orgánica (5) (Entidad Adjudicadora Jerarquía)"	"Ubicacion_organica_(5)_(Entidad_Adjudicadora_Jerarquia)"	"string"
"Ubicación orgánica (6) (Entidad Adjudicadora Jerarquía)"	"Ubicacion_organica_(6)_(Entidad_Adjudicadora_Jerarquia)"	"string"
"Ubicación orgánica (7) (Entidad Adjudicadora Jerarquía)"	"Ubicacion_organica_(7)_(Entidad_Adjudicadora_Jerarquia)"	"string"
"Ubicación orgánica (8) (Entidad Adjudicadora Jerarquía)"	"Ubicacion_organica_(8)_(Entidad_Adjudicadora_Jerarquia)"	"string"
"Ubicación orgánica (Entidad Adjudicadora)"	"Ubicacion_organica_(Entidad_Adjudicadora)"	"string"
"Valor estimado del contrato (Datos Generales del Expediente)"	"Valor_estimado_del_contrato_(Datos_Generales_del_Expediente)"	"string"
